feature,importance_gain,importance_split
lgbm_v1_group_max,4462046.174126029,1439
lgbm_v1_group_rank,2065771.248450756,429
lgbm_v1_score,1163539.0233690739,1487
missed_cleavage_like,419204.8770581484,788
lgbm_v1_gap_to_top2,350322.183211118,1911
lgbm_v1_group_std,272505.68511119485,802
instrument_id,214653.24092531204,527
lgbm_v1_top1_margin,207549.95294976234,1083
delta_rt,206746.38362002373,1370
lgbm_v1_group_rank_pct,202063.4991955757,378
lgbm_v1_minus_group_mean,192558.59781444073,1380
lgbm_v1_gap_to_top1,189555.46404832602,1266
is_lgbm_v1_group_top1,170846.83939409256,54
lgbm_v1_softmax_in_group,130560.10028451681,1310
lgbm_v1_group_top2,107699.5272744894,1283
predicted_rt,101275.13237681985,1115
lgbm_v1_z_in_group,85341.87552784383,1565
rt,82549.50286400318,1593
abs_delta_rt,63243.989531993866,415
longest_combined_ladder_20ppm,58072.75908485055,437
lgbm_v1_group_size,52025.18596792221,524
basic_aa_count,47427.08210992813,798
lgbm_v1_group_mean,46295.75716389716,880
c_terminal_coverage_20ppm,42045.770161151886,1234
lgbm_v1_group_min,40088.49483355507,739
delta_rt_z_in_file,38032.42890334129,1252
matched_peak_rank_mean_20ppm,36262.003755271435,997
matched_total_fraction_10ppm,32196.04988193512,476
matched_peak_count_20ppm,30259.68195414543,423
matched_y_fraction_10ppm,27369.02584683895,534
n_terminal_coverage_20ppm,27103.634491086006,1000
matched_y_count_10ppm,26918.402593135834,360
ion_mobility,26406.836306214333,561
predicted_rt_z_in_file,25794.08227956295,1087
matched_total_count_10ppm,24911.631695508957,396
matched_y_count_20ppm,24529.301993608475,286
rt_z_in_file,24251.37460041046,1011
matched_top50_peak_count_20ppm,22253.019293665886,597
rt_norm_in_file,22115.074024289846,1024
loss_explained_intensity_fraction_20ppm,21433.10748001933,909
longest_y_ladder_20ppm,18989.043271303177,493
mean_signed_fragment_ppm_20ppm,17062.621881470084,995
mean_abs_fragment_ppm_20ppm,16098.760054826736,641
top50_explained_intensity_fraction_20ppm,15680.842866301537,812
intensity_weighted_abs_fragment_ppm_20ppm,15165.026308745146,817
hydrophobic_aa_count,13582.970359802246,723
b_y_complement_pair_count_20ppm,13534.885874509811,467
explained_intensity_fraction_20ppm,13421.322218060493,707
min_abs_precursor_ppm,13237.604645609856,866
precursor_mz,12746.992899179459,650
matched_y_count_50ppm,12601.203123152256,431
theoretical_precursor_mz,12468.620777964592,635
abs_precursor_ppm_error,12359.71012711525,520
ppm_iso_-1,12106.126734487712,650
abs_ppm_iso_1,10732.232619404793,560
acidic_aa_count,10364.327455282211,572
charge,10321.48512339592,355
matched_y_fraction_20ppm,10310.713764369488,480
peptide_length,10285.567527472973,469
precursor_ppm_error,10092.780055206269,511
neutral_mass,10079.509744644165,530
matched_total_fraction_20ppm,9942.15427494049,400
median_abs_fragment_ppm_20ppm,9116.646386638284,602
matched_loss_fraction_20ppm,9112.43607878685,598
matched_peak_rank_min_20ppm,8930.31378096342,533
longest_b_ladder_20ppm,8772.049821853638,310
std_abs_fragment_ppm_20ppm,8771.141145586967,664
ion_mobility_norm_in_file,8311.515516996384,314
ion_mobility_z_in_file,7710.080562829971,405
mod_count,7678.483459949493,320
matched_y_fraction_50ppm,7634.020370423794,503
ppm_iso_1,7593.877148151398,337
ppm_iso_2,7392.716710750014,381
matched_top10_peak_count_20ppm,6543.57030248642,291
matched_total_count_20ppm,6058.3831642866135,234
matched_b_fraction_10ppm,5772.384753227234,418
matched_loss_count_20ppm,5624.306308373809,345
matched_b_fraction_50ppm,5490.625230908394,432
abs_ppm_iso_2,5403.311165690422,331
matched_b_fraction_20ppm,5387.78852045536,393
matched_total_fraction_50ppm,5026.755396962166,369
matched_total_count_50ppm,4543.676649004221,319
abs_ppm_iso_-1,4140.246003627777,190
abs_ppm_iso_0,3885.0562344789505,153
main_ion_count,3658.91991853714,112
fragment_position_count,3579.2930424511433,159
ppm_iso_0,2806.3793197870255,151
matched_b_count_10ppm,2186.637811422348,151
matched_b_count_50ppm,2128.888137936592,170
matched_b_count_20ppm,1987.1850969791412,153
has_mod,1600.935935497284,56
has_ion_mobility,1579.6987886428833,27
b_ion_count,943.1813015937805,37
y_ion_count,331.776650428772,13
loss_ion_count,310.50783824920654,7
best_isotope_offset,180.13372087478638,4
is_lgbm_v1_group_top3,172.34681129455566,11
unknown_mod_count,0.0,0
fragment_parse_ok,0.0,0
parse_ok,0.0,0
